t_name,max_participants,price,t_type,area,accessibility,t_level
Weird & Wonderful,15,86,Hiking,French Quarter,0,5
Curious Circuit,49,137,Hiking,Cairo Giza,1,1
Bizarre Boulevard,25,122,Sightseeing,Reykjavik,1,1
Offbeat Outing,18,53,Hiking,Sydney Harbour,1,4
Quirky Quarters,12,166,Hiking,Dubai Marina,1,3
Unusual Universe,23,56,Sightseeing,Kyoto Temples,0,2
Rare Routes,49,28,Sightseeing,Grand Canyon,1,5
Eccentric Escapes,24,122,Sightseeing,Dublin Liberties,0,3
Funky Frontier,35,190,Hiking,San Francisco Bay,1,3
Retro Revival,26,138,Hiking,San Francisco Bay,0,5
Kitsch Kingdom,47,210,Sightseeing,Istanbul Sultanahmet,1,2
Vintage Vibes,28,119,Sightseeing,Cape Town Coast,1,3
Thrift Shop Trek,42,178,Sightseeing,Yellowstone Park,0,2
Flea Market Follow,23,152,Sightseeing,Dubai Marina,0,1
Antique Arc,32,94,Hiking,Seoul City,0,5
Curiosities Circuit,47,152,Hiking,Paris Montmartre,0,3
Collector’s Choice,31,115,Sightseeing,Bali Jungles,0,1
Nerd Night,49,155,Sightseeing,New Orleans,1,5
Geek Gaze,35,22,Hiking,Hong Kong Island,1,1
Tech Trek,25,136,Sightseeing,Kyoto Temples,0,5
Digital District,11,224,Sightseeing,Sydney Harbour,1,4
Startup Safari,24,73,Sightseeing,Hong Kong Island,0,2
Innovation Island,23,17,Hiking,Rome City Center,1,5
Future Frontiers,10,4,Sightseeing,Cape Town Coast,0,1
Sci-Fi Sojourn,43,65,Sightseeing,Cairo Giza,0,4
Steampunk Steps,37,32,Sightseeing,Swiss Alps,0,5
Cyber Circuit,32,94,Sightseeing,Seoul City,1,4
Street Art Safari,28,24,Hiking,Tokyo Shibuya,0,1
Vinyl Voyage,20,118,Sightseeing,Madrid Center,1,4
Record Road,35,70,Sightseeing,Sydney Harbour,0,4
Bookworm Boulevard,12,10,Sightseeing,Sydney Harbour,0,4
Library Lore,17,130,Sightseeing,Vienna City Center,0,4
Literary Legend,26,47,Sightseeing,Lisbon Hills,0,2
Writer’s Walk,32,159,Sightseeing,Vancouver Waterfront,1,3
Poet’s Path,37,20,Hiking,Barcelona Gothic Quarter,1,2
Language Lab,50,40,Hiking,Florence,1,4
Polyglot Parade,40,187,Sightseeing,Vancouver Waterfront,1,3
Math Magic,24,74,Sightseeing,Cairo Giza,1,2
Geometry Gaze,31,184,Sightseeing,Amsterdam Canals,1,5
Logic Lane,30,219,Hiking,Swiss Alps,0,2
Soundscape Safari,33,32,Sightseeing,Provence,1,4
Acoustic Adventures,46,115,Hiking,New Orleans,0,1
Echo Exploration,13,203,Hiking,Barcelona Gothic Quarter,0,2
Shadow Steps,41,151,Sightseeing,Reykjavik,1,3
Reflection Routes,42,59,Sightseeing,Kyoto Temples,1,1
Mirror Magic,20,21,Hiking,Scottish Highlands,1,2
Final Frontier,47,93,Hiking,Grand Canyon,0,4
